Kabupaten/Kota,Kelompok,Jenis,Satuan,2014,2017,2018
Prabumulih,Perikanan_Budidaya,Sawah,Ton,1756.6,0.0,0.0
Pagar_Alam,Perikanan_Budidaya,Sawah,Ton,4995.1,40.0,8.0
Lubuk_Linggau,Perikanan_Budidaya,Sawah,Ton,639.2,0.0,0.0
Ogan_Komering_Ulu,Perikanan_Budidaya,Keramba,Ton,0.0,0.0,0.0
Ogan_Komering_Ilir,Perikanan_Budidaya,Keramba,Ton,66.1,0.0,0.0
Muara_Enim,Perikanan_Budidaya,Keramba,Ton,0.0,0.0,0.0
Lahat,Perikanan_Budidaya,Keramba,Ton,0.0,450.0,2.0
Musi_Rawas,Perikanan_Budidaya,Keramba,Ton,178.2,0.0,0.0
Musi_Banyuasin,Perikanan_Budidaya,Keramba,Ton,0.0,0.0,0.0
Banyuasin,Perikanan_Budidaya,Keramba,Ton,4009.5,0.0,0.0
Ogan_Komering_Ulu_Selatan,Perikanan_Budidaya,Keramba,Ton,0.0,0.0,200.0
Ogan_Komering_Ulu_Timur,Perikanan_Budidaya,Keramba,Ton,0.0,0.0,0.0
Ogan_Ilir,Perikanan_Budidaya,Keramba,Ton,0.0,92.0,2453.0
Empat_Lawang,Perikanan_Budidaya,Keramba,Ton,0.0,0.0,0.0
Pali,Perikanan_Budidaya,Keramba,Ton,0.0,0.0,37.0
Musi_Rawas_Utara,Perikanan_Budidaya,Keramba,Ton,0.0,0.0,0.0
Palembang,Perikanan_Budidaya,Keramba,Ton,3723.5,0.0,0.0
Prabumulih,Perikanan_Budidaya,Keramba,Ton,0.0,0.0,0.0
Pagar_Alam,Perikanan_Budidaya,Keramba,Ton,0.0,0.0,0.0
Lubuk_Linggau,Perikanan_Budidaya,Keramba,Ton,0.0,0.0,0.0
Ogan_Komering_Ulu,Perikanan_Budidaya,Jaring_Apung,Ton,0.0,0.0,0.0
Ogan_Komering_Ilir,Perikanan_Budidaya,Jaring_Apung,Ton,5740.2,427.0,0.0
Muara_Enim,Perikanan_Budidaya,Jaring_Apung,Ton,0.0,0.0,0.0
Lahat,Perikanan_Budidaya,Jaring_Apung,Ton,0.0,192.0,3.0
Musi_Rawas,Perikanan_Budidaya,Jaring_Apung,Ton,0.0,0.0,0.0
Musi_Banyuasin,Perikanan_Budidaya,Jaring_Apung,Ton,14816.4,0.0,0.0
Banyuasin,Perikanan_Budidaya,Jaring_Apung,Ton,3703.9,4084.0,2310.0
Ogan_Komering_Ulu_Selatan,Perikanan_Budidaya,Jaring_Apung,Ton,11113.6,10308.0,280.0
Ogan_Komering_Ulu_Timur,Perikanan_Budidaya,Jaring_Apung,Ton,0.0,1.0,0.0
Ogan_Ilir,Perikanan_Budidaya,Jaring_Apung,Ton,16681.7,1154.0,6.0
Empat_Lawang,Perikanan_Budidaya,Jaring_Apung,Ton,0.0,0.0,0.0
