videoId,channelId,title,description,publishAt,videoUrl,countries,likeCount,topLevelComment
sCT4uFzTvqE,UCkuYDQQ-WA9DeFpAFyFvLpQ,"ASMR MUKBANG |Makan Aja dulu, Urusan Diet Bisa Besok 😂",,2021-05-24T16:31:29Z,https://www.youtube.com/watch?v=sCT4uFzTvqE,--,416,['Wau enak kkk di mana kkk']
dDEKRl3cyOg,UCEnaoRpbxiSbAhBkuvODGpw,Mukbang Battle: Kim Bok-joo VS Lee Dam 🍗🍚🥘🍜🥯| Best of: Mukbang Faceoff | Netflix Philippines,Kim Bok-joo (Lee Sung-kyoung) and Lee Dam (Lee Hye-ri) face off in the ultimate mukbang battle. Who will bring home the ...,2022-03-24T10:00:12Z,https://www.youtube.com/watch?v=dDEKRl3cyOg,--,109664,"['I&#39;m jealous. I can&#39;t eat much because I get stomachache easily', 'FVDFDTRRYTYT', 'I think this scene was the actor&#39;s favorite(:']"
Qs2eKbStIvc,UCALl6UrYtJndCXo2p6hANPQ,ASMR (요리와먹방) 와~ 버섯 종류가 많아요~ 직접 만든 매콤한 소스로 여러가지 버섯을 구워봤어요~ *맛있는 매콤달콤 소스레시피* 리얼사운드 먹방 MUKBANG,"안녕하세요^^ 오늘은 시청자님이 요청하신 모듬 버섯을 준비해봤어요~ 버섯은 팽이버섯, 새송이버섯, 양송이버섯, 목이버섯, 백만송이 ...",2020-05-18T10:57:02Z,https://www.youtube.com/watch?v=Qs2eKbStIvc,KR,265666,"['🤤🤤🤤🤤🤤🤤🤤', 'Kamu Nanya  😃😃😃😃😃', 'WA pasti enak ya kak']"
TRqJcPfgYxo,UClZAOlfhJQJRym39WoAPxdw,ASMR MUKBANG challenge // The MOST HIGH-CALORIE AMERICAN FAST FOOD (With SUBTITLES),तुम हिन्दी में उपशीर्षक चालू कर सकते हो / Puedes encender los subtitulos en españo ...,2022-07-10T14:37:13Z,https://www.youtube.com/watch?v=TRqJcPfgYxo,US,33609,"['तुम हिन्दी में उपशीर्षक चालू कर सकते हो  🇮🇳 / Puedes encender los subtitulos en españo 🇪🇸🇲🇽  / Ты можешь включить субтитры на русском языке 🇷🇺', 'Gery: bro why are you so heavy?', 'Addacomment']"
6hxl2UgOCxM,UCIq2_p-QKO3jpUg-0m7Jr7g,얼굴만한 크기의 타이거새우 간장새우 양념새우 새우먹방 RAW Shrimp TigerShrimp Soysauce MUKBANG,eating #shrimp #chinesefood #ASMR #새우먹방 Thank you for watching. Stay tuned for more ❤️     Please Remember to ...,2023-02-08T09:00:06Z,https://www.youtube.com/watch?v=6hxl2UgOCxM,US,0,"['Bom dia! 😋😋😋💛💛👍🏾🇧🇷🇧🇷', 'Где водятся такие монстры?']"
Isr03aEZSns,UCIq2_p-QKO3jpUg-0m7Jr7g,어마어마한 크기의 타이거새우 홍새우 딱새우 흑새우 간장새우 양념새우 새우먹방 RAW Shrimp TigerShrimp Soysauce MUKBANG,eating #shrimp #chinesefood #ASMR #새우먹방 Thank you for watching. Stay tuned for more ❤️     Please Remember to ...,2023-02-09T09:00:16Z,https://www.youtube.com/watch?v=Isr03aEZSns,US,0,['💛💛💛🇧🇷🇧🇷🇧🇷👍🏾😀😋😋']
Isr03aEZSns,UCIq2_p-QKO3jpUg-0m7Jr7g,어마어마한 크기의 타이거새우 홍새우 딱새우 흑새우 간장새우 양념새우 새우먹방 RAW Shrimp TigerShrimp Soysauce MUKBANG,eating #shrimp #chinesefood #ASMR #새우먹방 Thank you for watching. Stay tuned for more ❤️     Please Remember to ...,2023-02-09T09:00:16Z,https://www.youtube.com/watch?v=Isr03aEZSns,US,0,['💛💛💛🇧🇷🇧🇷🇧🇷👍🏾😀😋😋']
SJiqDWhQ3RA,UCIq2_p-QKO3jpUg-0m7Jr7g,맛있는 해산물 총집합! 홍새우 타이거새우 해삼 가리비 성게 간장새우 양념새우 새우먹방 RAW Shrimp TigerShrimp Soysauce spicysauce MUKBANG,eating #shrimp #chinesefood #ASMR #새우먹방 Thank you for watching. Stay tuned for more ❤️     Please Remember to ...,2023-02-10T09:00:16Z,https://www.youtube.com/watch?v=SJiqDWhQ3RA,US,0,[]
a2pJKW4T-BE,UCIq2_p-QKO3jpUg-0m7Jr7g,새우알도 남김없이 먹자 타이거새우 홍새우 딱새우 새우알 크레이피쉬 간장새우 양념새우 새우먹방 RAW Shrimp TigerShrimp Soysauce MUKBANG,eating #shrimp #chinesefood #ASMR #새우먹방 Thank you for watching. Stay tuned for more ❤️     Please Remember to ...,2023-02-09T14:00:01Z,https://www.youtube.com/watch?v=a2pJKW4T-BE,US,0,"['What&#39;s that green stuff coming from the shrimp 🤣', 'Bom dia! 💙💙💙💙😋😋😀🇧🇷']"
43cYA2cYoHY,UCzF4JYxRi8R-figrEefeP1Q,LUPAKAN DIET😅❌️ ASMR OSENG MERCON TETELAN SUPER DUPER ENDUL!🤤🥓,Oseng Mercon : https://shope.ee/6A7O5EVCjZ Es Teh Kundur : https://shope.ee/4UzA7A7tlx Lipstik : https://shp.ee/ebb6ya5 ...,2022-06-27T05:00:00Z,https://www.youtube.com/watch?v=43cYA2cYoHY,ID,7868,"['ka oliv gapunya instagram pribadi ya?', 'Waktu itu aku sakit dan ga nafsu makan  . aku tonton kak oliv jd nafsu makan dongg dan membaik😆😆😆 thanks kak oliv🌷🌷', 'Ngeliat kak Oliv makan apalagi pake tangan aku ngiler banget deh,😍']"
