Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017
Sumatera_Selatan,Buah-Buahan,Jeruk,Kuintal,1601864.0,919977.0,1182767.0
Ogan_Komering_Ulu,Buah-Buahan,Pisang,Kuintal,22820.0,24668.0,31869.0
Ogan_Komering_Ilir,Buah-Buahan,Pisang,Kuintal,9426.0,20754.0,22172.0
Muara_Enim,Buah-Buahan,Pisang,Kuintal,3957.0,9120.0,5970.0
Lahat,Buah-Buahan,Pisang,Kuintal,26174.0,15950.0,19037.0
Musi_Rawas,Buah-Buahan,Pisang,Kuintal,9590.0,11673.0,9638.0
Musi_Banyuasin,Buah-Buahan,Pisang,Kuintal,2312.0,2310.0,3566.0
Banyuasin,Buah-Buahan,Pisang,Kuintal,2640.0,3021.0,3282.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Pisang,Kuintal,3028.0,1967.0,4546.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Pisang,Kuintal,70848.0,88935.0,69119.0
Ogan_Ilir,Buah-Buahan,Pisang,Kuintal,9189.0,11586.0,13125.0
Empat_Lawang,Buah-Buahan,Pisang,Kuintal,1810.0,1368.0,3558.0
Pali,Buah-Buahan,Pisang,Kuintal,101.0,40.0,103.0
Musi_Rawas_Utara,Buah-Buahan,Pisang,Kuintal,2419.0,1259.0,2457.0
Palembang,Buah-Buahan,Pisang,Kuintal,6712.0,1964.0,1001.0
Prabumulih,Buah-Buahan,Pisang,Kuintal,230.0,311.0,253.0
Pagar_Alam,Buah-Buahan,Pisang,Kuintal,1125.0,4635.0,3305.0
Lubuk_Linggau,Buah-Buahan,Pisang,Kuintal,677.0,2578.0,934.0
Sumatera_Selatan,Buah-Buahan,Pisang,Kuintal,173058.0,202139.0,193935.0
Ogan_Komering_Ulu,Buah-Buahan,Pepaya,Kuintal,3263.0,3170.0,3342.0
Ogan_Komering_Ilir,Buah-Buahan,Pepaya,Kuintal,1869.0,1252.0,8080.0
Muara_Enim,Buah-Buahan,Pepaya,Kuintal,164808.0,162793.0,156843.0
Lahat,Buah-Buahan,Pepaya,Kuintal,367.0,105.0,104.0
Musi_Rawas,Buah-Buahan,Pepaya,Kuintal,11209.0,26715.0,28703.0
Musi_Banyuasin,Buah-Buahan,Pepaya,Kuintal,652.0,696.0,540.0
Banyuasin,Buah-Buahan,Pepaya,Kuintal,5396.0,16216.0,13851.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Pepaya,Kuintal,10.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Pepaya,Kuintal,329.0,221.0,178.0
Ogan_Ilir,Buah-Buahan,Pepaya,Kuintal,320379.0,299374.0,816106.0
Empat_Lawang,Buah-Buahan,Pepaya,Kuintal,26.0,29.0,27.0
Pali,Buah-Buahan,Pepaya,Kuintal,440.0,350.0,3540.0
Musi_Rawas_Utara,Buah-Buahan,Pepaya,Kuintal,258.0,87.0,134.0
Palembang,Buah-Buahan,Pepaya,Kuintal,99.0,49.0,32.0
Prabumulih,Buah-Buahan,Pepaya,Kuintal,65846.0,61509.0,59229.0
Pagar_Alam,Buah-Buahan,Pepaya,Kuintal,0.0,0.0,0.0
Lubuk_Linggau,Buah-Buahan,Pepaya,Kuintal,260.0,348.0,3.0
Sumatera_Selatan,Buah-Buahan,Pepaya,Kuintal,575211.0,572914.0,1090712.0
Ogan_Komering_Ulu,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ilir,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Muara_Enim,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Lahat,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Musi_Rawas,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Musi_Banyuasin,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Banyuasin,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Ogan_Ilir,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Empat_Lawang,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Pali,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Musi_Rawas_Utara,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Palembang,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Prabumulih,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Pagar_Alam,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Lubuk_Linggau,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
Sumatera_Selatan,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0
