Kabupaten/Kota,kelompok,jenis,satuan,2017,2018,2019
Banyuasin,Palawija,Kacang_Hijau,Ton,70572.0,65130.0,27880.0
Ogan_Komering_Ulu_Selatan,Palawija,Kacang_Hijau,Ton,1878.0,1144.0,791.0
Ogan_Komering_Ulu_Timur,Palawija,Kacang_Hijau,Ton,20836.0,15955.0,20363.0
Ogan_Ilir,Palawija,Kacang_Hijau,Ton,19967.0,9933.0,6332.0
Empat_Lawang,Palawija,Kacang_Hijau,Ton,253.0,306.0,139.0
Pali,Palawija,Kacang_Hijau,Ton,21073.0,8750.0,5785.0
Musi_Rawas_Utara,Palawija,Kacang_Hijau,Ton,1793.0,1311.0,1883.0
Palembang,Palawija,Kacang_Hijau,Ton,1199.0,974.0,1720.0
Prabumulih,Palawija,Kacang_Hijau,Ton,4122.0,5124.0,3940.0
Pagar_Alam,Palawija,Kacang_Hijau,Ton,5411.0,2762.0,2207.0
Lubuk_Linggau,Palawija,Kacang_Hijau,Ton,2923.0,644.0,491.0
Sumatera_Selatan,Palawija,Kacang_Hijau,Ton,539009.0,225842.0,176741.0
Ogan_Komering_Ulu,Palawija,Ubi_Kayu,Ton,38.0,10.0,18.0
Ogan_Komering_Ilir,Palawija,Ubi_Kayu,Ton,1013.0,1307.0,1503.0
Muara_Enim,Palawija,Ubi_Kayu,Ton,782.0,1636.0,1546.0
Lahat,Palawija,Ubi_Kayu,Ton,2571.0,2470.0,2062.0
Musi_Rawas,Palawija,Ubi_Kayu,Ton,540.0,1453.0,1294.0
Musi_Banyuasin,Palawija,Ubi_Kayu,Ton,2824.0,3667.0,2578.0
Banyuasin,Palawija,Ubi_Kayu,Ton,1206.0,2442.0,2752.0
Ogan_Komering_Ulu_Selatan,Palawija,Ubi_Kayu,Ton,129.0,277.0,163.0
Ogan_Komering_Ulu_Timur,Palawija,Ubi_Kayu,Ton,1228.0,1544.0,2639.0
Ogan_Ilir,Palawija,Ubi_Kayu,Ton,344.0,241.0,289.0
Empat_Lawang,Palawija,Ubi_Kayu,Ton,14.0,138.0,21.0
Pali,Palawija,Ubi_Kayu,Ton,0.0,322.0,0.0
Musi_Rawas_Utara,Palawija,Ubi_Kayu,Ton,124.0,81.0,67.0
Palembang,Palawija,Ubi_Kayu,Ton,127.0,136.0,214.0
Prabumulih,Palawija,Ubi_Kayu,Ton,192.0,176.0,61.0
Pagar_Alam,Palawija,Ubi_Kayu,Ton,2231.0,1791.0,1796.0
Lubuk_Linggau,Palawija,Ubi_Kayu,Ton,66.0,46.0,66.0
Sumatera_Selatan,Palawija,Ubi_Kayu,Ton,13429.0,17737.0,17069.0
