Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017,2018,2019,2020
Muara_Enim,Daging_Ternak,Kuda,kg,261898.0,285710.0,270889.0,233721.14,285569.0,295124.0
Lahat,Daging_Ternak,Kuda,kg,104238.0,18242.0,191993.0,27362.48,13681.0,17807.0
Musi_Rawas,Daging_Ternak,Kuda,kg,5646.0,6157.0,6157.0,6385.0,6515.0,6949.0
Musi_Banyuasin,Daging_Ternak,Kuda,kg,10424.0,4788.0,0.0,0.0,0.0,0.0
Banyuasin,Daging_Ternak,Kuda,kg,31054.0,33519.0,8209.0,8664.78,5429.0,5863.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Kuda,kg,869.0,456.0,2280.0,1140.1,2389.0,3040.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Kuda,kg,5863.0,6613.0,19610.0,6384.58,7166.0,5646.0
Ogan_Ilir,Daging_Ternak,Kuda,kg,3909.0,4788.0,51761.0,93032.0,1303.0,1303.0
Empat_Lawang,Daging_Ternak,Kuda,kg,145933.0,160983.0,10033.0,15505.0,9989.0,15419.0
Pali,Daging_Ternak,Kuda,kg,35831.0,39904.0,13453.0,1140.0,22585.0,23019.0
Musi_Rawas_Utara,Daging_Ternak,Kuda,kg,109450.0,140005.0,142741.0,145705.0,193057.0,189583.0
Palembang,Daging_Ternak,Kuda,kg,14116.0,15277.0,684.0,0.0,0.0,0.0
Prabumulih,Daging_Ternak,Kuda,kg,6081.0,2736.0,2280.0,912.08,869.0,0.0
Pagar_Alam,Daging_Ternak,Kuda,kg,22151.0,28275.0,1140.0,6840.62,8035.0,8252.0
Lubuk_Linggau,Daging_Ternak,Kuda,kg,6732.0,144337.0,97137.0,60425.0,86648.0,93597.0
Sumatera_Selatan,Daging_Ternak,Kuda,kg,790472.0,977069.0,848693.0,625232.55,662346.0,690142.0
Ogan_Komering_Ulu,Daging_Ternak,Kerbau,kg,24325.0,57665.0,75826.0,84000.44,43531.0,55234.0
Ogan_Komering_Ilir,Daging_Ternak,Kerbau,kg,86011.0,87116.0,130419.0,84795.81,88249.0,90900.0
Muara_Enim,Daging_Ternak,Kerbau,kg,84884.0,67872.0,84884.0,76400.19,157598.0,228475.0
Lahat,Daging_Ternak,Kerbau,kg,170166.0,24126.0,342453.0,27661.38,0.0,47546.0
Musi_Rawas,Daging_Ternak,Kerbau,kg,210421.0,219943.0,221755.0,228824.97,231126.0,233537.0
Musi_Banyuasin,Daging_Ternak,Kerbau,kg,131060.0,270472.0,278580.0,307678.0,324803.0,331293.0
Banyuasin,Daging_Ternak,Kerbau,kg,160599.0,166366.0,16371.0,16415.66,10075.0,10719.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Kerbau,kg,28302.0,97279.0,54505.0,60117.09,68718.0,55234.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Kerbau,kg,367154.0,42376.0,124962.0,385867.34,426561.0,271778.0
Ogan_Ilir,Daging_Ternak,Kerbau,kg,8572.0,9942.0,67253.0,206466.09,38797.0,39201.0
Empat_Lawang,Daging_Ternak,Kerbau,kg,46331.0,3182.0,3182.0,3822.0,3182.0,3825.0
Pali,Daging_Ternak,Kerbau,kg,33141.0,22646.0,24745.0,0.0,15226.0,15529.0
Musi_Rawas_Utara,Daging_Ternak,Kerbau,kg,63674.0,75052.0,76511.0,78433.0,83073.0,84423.0
Palembang,Daging_Ternak,Kerbau,kg,208101.0,71363.0,144957.0,237132.0,20503.0,20705.0
Prabumulih,Daging_Ternak,Kerbau,kg,42000.0,36322.0,28523.0,44894.5,53265.0,54856.0
Pagar_Alam,Daging_Ternak,Kerbau,kg,15201.0,15908.0,65132.0,44010.75,30363.0,28394.0
Lubuk_Linggau,Daging_Ternak,Kerbau,kg,62172.0,127746.0,128188.0,112678.13,118208.0,125051.0
Sumatera_Selatan,Daging_Ternak,Kerbau,kg,1742114.0,1395376.0,1868248.0,1999197.16,1713278.0,1696700.0
Ogan_Komering_Ulu,Daging_Ternak,Kambing,kg,225.0,11318.0,4645.0,1858.0,1207.0,2815.0
Ogan_Komering_Ilir,Daging_Ternak,Kambing,kg,4392.0,4842.0,39977.0,5715.0,8060.0,8253.0
Muara_Enim,Daging_Ternak,Kambing,kg,22945.0,4561.0,28913.0,29786.0,29681.0,30035.0
Lahat,Daging_Ternak,Kambing,kg,17427.0,19172.0,92483.0,14865.0,0.0,869.0
Musi_Rawas,Daging_Ternak,Kambing,kg,10839.0,11346.0,11374.0,11430.0,11599.0,11776.0
Musi_Banyuasin,Daging_Ternak,Kambing,kg,13739.0,15006.0,985.0,1014.0,225.0,225.0
Banyuasin,Daging_Ternak,Kambing,kg,10501.0,10473.0,1182.0,1182.0,820.0,853.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Kambing,kg,36599.0,9009.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Kambing,kg,73198.0,49831.0,26745.0,150957.0,104167.0,78571.0
Ogan_Ilir,Daging_Ternak,Kambing,kg,2562.0,845.0,19116.0,31926.0,1995.0,2027.0
Empat_Lawang,Daging_Ternak,Kambing,kg,10839.0,450.0,507.0,535.0,515.0,531.0
Pali,Daging_Ternak,Kambing,kg,5630.0,9009.0,0.0,0.0,0.0,0.0
Musi_Rawas_Utara,Daging_Ternak,Kambing,kg,5518.0,10023.0,10220.0,10360.0,12050.0,13884.0
Palembang,Daging_Ternak,Kambing,kg,33784.0,20693.0,3829.0,0.0,64.0,0.0
Prabumulih,Daging_Ternak,Kambing,kg,704.0,28.0,56.0,422.0,0.0,0.0
Pagar_Alam,Daging_Ternak,Kambing,kg,4448.0,1689.0,113.0,1548.42,1384.0,0.0
Lubuk_Linggau,Daging_Ternak,Kambing,kg,1520.0,16188.0,13795.0,9713.0,11680.0,18871.0
Sumatera_Selatan,Daging_Ternak,Kambing,kg,254870.0,194483.0,253941.0,271311.67,183447.0,168710.0
Ogan_Komering_Ulu,Daging_Ternak,Domba,kg,28903.0,10577.0,36653.0,40318.05,37991.0,41889.0
Ogan_Komering_Ilir,Daging_Ternak,Domba,kg,29741.0,30369.0,12776.0,45554.16,50674.0,51605.0
Muara_Enim,Daging_Ternak,Domba,kg,0.0,35501.0,0.0,0.0,0.0,0.0
Lahat,Daging_Ternak,Domba,kg,0.0,0.0,0.0,0.0,0.0,5236.0
Musi_Rawas,Daging_Ternak,Domba,kg,24505.0,25657.0,25866.0,26704.16,26995.0,27344.0
Musi_Banyuasin,Daging_Ternak,Domba,kg,0.0,0.0,0.0,0.0,0.0,0.0
Banyuasin,Daging_Ternak,Domba,kg,0.0,0.0,13719.0,13823.33,8494.0,0.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Domba,kg,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Domba,kg,890139.0,101057.0,419831.0,220754.4,225036.0,174770.0
Ogan_Ilir,Daging_Ternak,Domba,kg,0.0,0.0,0.0,0.0,0.0,0.0
Empat_Lawang,Daging_Ternak,Domba,kg,0.0,0.0,0.0,0.0,0.0,0.0
Pali,Daging_Ternak,Domba,kg,0.0,0.0,0.0,0.0,0.0,0.0
Musi_Rawas_Utara,Daging_Ternak,Domba,kg,0.0,0.0,0.0,0.0,0.0,0.0
Palembang,Daging_Ternak,Domba,kg,201067.0,377000.0,421926.0,0.0,0.0,0.0
Prabumulih,Daging_Ternak,Domba,kg,191118.0,103047.0,0.0,0.0,0.0,0.0
Pagar_Alam,Daging_Ternak,Domba,kg,0.0,0.0,0.0,0.0,0.0,0.0
Lubuk_Linggau,Daging_Ternak,Domba,kg,36653.0,33092.0,33511.0,12566.66,13614.0,15708.0
Sumatera_Selatan,Daging_Ternak,Domba,kg,1402126.0,716300.0,964282.0,359720.76,362804.0,316552.0
