Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017,2018,2019,2020
Banyuasin,Sayuran,Kentang,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ulu_Selatan,Sayuran,Kentang,Kuintal,5605.0,3179.0,10020.0,6565.0,4833.0,1766.0
Ogan_Komering_Ulu_Timur,Sayuran,Kentang,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Ilir,Sayuran,Kentang,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Empat_Lawang,Sayuran,Kentang,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Pali,Sayuran,Kentang,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Musi_Rawas_Utara,Sayuran,Kentang,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Palembang,Sayuran,Kentang,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Prabumulih,Sayuran,Kentang,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Pagar_Alam,Sayuran,Kentang,Kuintal,45122.0,22638.0,25119.0,37534.0,52383.0,23045.0
Lubuk_Linggau,Sayuran,Kentang,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ulu,Sayuran,Kubis,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ilir,Sayuran,Kubis,Kuintal,1236.0,867.0,1298.0,938.0,1298.0,3030.0
Muara_Enim,Sayuran,Kubis,Kuintal,1300.0,1805.0,960.0,1895.0,1032.0,900.0
Lahat,Sayuran,Kubis,Kuintal,5147.0,8520.0,11359.0,11925.0,11563.0,18091.0
Musi_Rawas,Sayuran,Kubis,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Musi_Banyuasin,Sayuran,Kubis,Kuintal,0.0,0.0,0.0,4.0,0.0,237.0
Banyuasin,Sayuran,Kubis,Kuintal,442.0,625.0,79.0,412.0,23.0,41.0
Ogan_Komering_Ulu_Selatan,Sayuran,Kubis,Kuintal,1373.0,268.0,3771.0,812.0,1970.0,1312.0
Ogan_Komering_Ulu_Timur,Sayuran,Kubis,Kuintal,5.0,44.0,1008.0,540.0,2192.0,7875.0
Ogan_Ilir,Sayuran,Kubis,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Empat_Lawang,Sayuran,Kubis,Kuintal,16.0,68.0,52.0,25.0,0.0,0.0
Pali,Sayuran,Kubis,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Musi_Rawas_Utara,Sayuran,Kubis,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Palembang,Sayuran,Kubis,Kuintal,137.0,106.0,98.0,117.0,394.0,686.0
Prabumulih,Sayuran,Kubis,Kuintal,922.0,512.0,14.0,10.0,23.0,38.0
Pagar_Alam,Sayuran,Kubis,Kuintal,21827.0,19965.0,19161.0,19446.0,22910.0,10871.0
Lubuk_Linggau,Sayuran,Kubis,Kuintal,49.0,0.0,0.0,0.0,0.0,0.0
Sumatera_Selatan,Sayuran,Petsai,Kuintal,,,,14432.0,13900.0,8191.0
Sumatera_Selatan,Sayuran,Bawang_Merah,Kuintal,,,,552646.0,514921.0,381609.0
Sumatera_Selatan,Sayuran,Cabai,Kuintal,,,,10287.0,6724.0,4180.0
Sumatera_Selatan,Sayuran,Kentang,Kuintal,,,,55158.0,68469.0,37537.0
Sumatera_Selatan,Sayuran,Kubis,Kuintal,,,,36124.0,41405.0,43081.0
