Kabupaten/Kota,kelompok,jenis,satuan,2018,2019,2020
Ogan_Komering_Ulu,Daging_Unggas,Itik/Itik_Manila,kg,57429.67,62615.0,66178.0
Ogan_Komering_Ilir,Daging_Unggas,Itik/Itik_Manila,kg,210946.34,273282.0,284296.0
Muara_Enim,Daging_Unggas,Itik/Itik_Manila,kg,889043.97,824744.0,942609.0
Lahat,Daging_Unggas,Itik/Itik_Manila,kg,115787.91,87585.0,55107.0
Musi_Rawas,Daging_Unggas,Itik/Itik_Manila,kg,370289.19,377135.0,397071.0
Musi_Banyuasin,Daging_Unggas,Itik/Itik_Manila,kg,182780.78,189319.0,198785.0
Banyuasin,Daging_Unggas,Itik/Itik_Manila,kg,742452.05,756114.0,772844.0
Ogan_Komering_Ulu_Selatan,Daging_Unggas,Itik/Itik_Manila,kg,194581.23,268850.0,289531.0
Ogan_Komering_Ulu_Timur,Daging_Unggas,Itik/Itik_Manila,kg,283447.74,291946.0,298396.0
Ogan_Ilir,Daging_Unggas,Itik/Itik_Manila,kg,320345.13,800842.0,808851.0
Empat_Lawang,Daging_Unggas,Itik/Itik_Manila,kg,10464.88,23809.0,24262.0
Pali,Daging_Unggas,Itik/Itik_Manila,kg,26329.1,27119.0,28068.0
Musi_Rawas_Utara,Daging_Unggas,Itik/Itik_Manila,kg,88168.33,88300.0,88824.0
Palembang,Daging_Unggas,Itik/Itik_Manila,kg,62477.43,23298.0,23532.0
Prabumulih,Daging_Unggas,Itik/Itik_Manila,kg,13111.61,15155.0,15761.0
Pagar_Alam,Daging_Unggas,Itik/Itik_Manila,kg,34563.36,22811.0,24504.0
Lubuk_Linggau,Daging_Unggas,Itik/Itik_Manila,kg,28910.89,25665.0,34412.0
Sumatera_Selatan,Daging_Unggas,Itik/Itik_Manila,kg,3631129.6,4158589.0,4353031.0
Ogan_Komering_Ulu,Daging_Unggas,Ayam_Kampung,kg,28894.8,35898.0,38236.0
Ogan_Komering_Ilir,Daging_Unggas,Ayam_Kampung,kg,16554.25,20168.0,21482.0
