Kabupaten/Kota,kelompok,jenis,satuan,2018,2019,2020
Ogan_Komering_Ulu,Buah-Buahan,Salak,Kuintal,8251.0,6748.0,3975.0
Ogan_Komering_Ilir,Buah-Buahan,Salak,Kuintal,76796.0,96568.0,19176.0
Muara_Enim,Buah-Buahan,Salak,Kuintal,9651.0,13017.0,4183.0
Lahat,Buah-Buahan,Salak,Kuintal,16372.0,18590.0,20729.0
Musi_Rawas,Buah-Buahan,Salak,Kuintal,13901.0,16108.0,13205.0
Musi_Banyuasin,Buah-Buahan,Salak,Kuintal,13639.0,9399.0,7023.0
Banyuasin,Buah-Buahan,Salak,Kuintal,12553.0,5410.0,7409.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Salak,Kuintal,4329.0,9696.0,6578.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Salak,Kuintal,49115.0,37235.0,23647.0
Ogan_Ilir,Buah-Buahan,Salak,Kuintal,3952.0,4690.0,4409.0
Empat_Lawang,Buah-Buahan,Salak,Kuintal,11899.0,3304.0,2162.0
Pali,Buah-Buahan,Salak,Kuintal,2167.0,986.0,1546.0
Musi_Rawas_Utara,Buah-Buahan,Salak,Kuintal,1347.0,5795.0,2486.0
Palembang,Buah-Buahan,Salak,Kuintal,5944.0,3294.0,3594.0
Prabumulih,Buah-Buahan,Salak,Kuintal,594.0,1368.0,3558.0
Pagar_Alam,Buah-Buahan,Salak,Kuintal,9502.0,2400.0,2789.0
Lubuk_Linggau,Buah-Buahan,Salak,Kuintal,1654.0,2987.0,1380.0
Sumatera_Selatan,Buah-Buahan,Salak,Kuintal,241666.0,237595.0,127850.0
Ogan_Komering_Ulu,Buah-Buahan,Mangga,Kuintal,35238.0,19075.0,13555.0
Ogan_Komering_Ilir,Buah-Buahan,Mangga,Kuintal,59768.0,13097.0,4269.0
Muara_Enim,Buah-Buahan,Mangga,Kuintal,34878.0,60336.0,12459.0
Lahat,Buah-Buahan,Mangga,Kuintal,41819.0,9532.0,24752.0
Musi_Rawas,Buah-Buahan,Mangga,Kuintal,53421.0,58559.0,62427.0
Musi_Banyuasin,Buah-Buahan,Mangga,Kuintal,41248.0,0.0,12027.0
Banyuasin,Buah-Buahan,Mangga,Kuintal,4144.0,2895.0,1771.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Mangga,Kuintal,124679.0,103932.0,90408.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Mangga,Kuintal,40151.0,92796.0,49946.0
Ogan_Ilir,Buah-Buahan,Mangga,Kuintal,3574.0,9864.0,1259.0
Empat_Lawang,Buah-Buahan,Mangga,Kuintal,84278.0,6384.0,8016.0
Pali,Buah-Buahan,Mangga,Kuintal,757.0,835.0,1145.0
Musi_Rawas_Utara,Buah-Buahan,Mangga,Kuintal,22337.0,12098.0,6897.0
Palembang,Buah-Buahan,Mangga,Kuintal,444.0,554.0,229.0
Prabumulih,Buah-Buahan,Mangga,Kuintal,251.0,213.0,592.0
Pagar_Alam,Buah-Buahan,Mangga,Kuintal,15709.0,4705.0,2717.0
Lubuk_Linggau,Buah-Buahan,Mangga,Kuintal,5736.0,11939.0,1033.0
Sumatera_Selatan,Buah-Buahan,Mangga,Kuintal,568432.0,420476.0,293502.0
Ogan_Komering_Ulu,Buah-Buahan,Durian,Kuintal,104152.0,75521.0,61918.0
Ogan_Komering_Ilir,Buah-Buahan,Durian,Kuintal,131740.0,31775.0,13810.0
Muara_Enim,Buah-Buahan,Durian,Kuintal,24241.0,29983.0,17878.0
Lahat,Buah-Buahan,Durian,Kuintal,406.0,669.0,989.0
Musi_Rawas,Buah-Buahan,Durian,Kuintal,56061.0,60406.0,54469.0
Musi_Banyuasin,Buah-Buahan,Durian,Kuintal,6109.0,3834.0,6575.0
Banyuasin,Buah-Buahan,Durian,Kuintal,30650.0,20980.0,26890.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Durian,Kuintal,2831.0,1161.0,1496.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Durian,Kuintal,40278.0,51901.0,323406.0
Ogan_Ilir,Buah-Buahan,Durian,Kuintal,14470.0,10568.0,2379.0
Empat_Lawang,Buah-Buahan,Durian,Kuintal,7994.0,1661.0,2952.0
Pali,Buah-Buahan,Durian,Kuintal,250.0,160.0,2575.0
Musi_Rawas_Utara,Buah-Buahan,Durian,Kuintal,3673.0,10467.0,27043.0
Palembang,Buah-Buahan,Durian,Kuintal,368.0,509.0,494.0
Prabumulih,Buah-Buahan,Durian,Kuintal,122.0,152.0,488.0
Pagar_Alam,Buah-Buahan,Durian,Kuintal,6232.0,3904.0,2606.0
