Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017
Ogan_Ilir,Tanaman_Perkebunan,Kelapa_Sawit,Ribu_Ton,0.0,0.0,0.0
Empat_Lawang,Tanaman_Perkebunan,Kelapa_Sawit,Ribu_Ton,5251.0,5251.0,44841.0
Pali,Tanaman_Perkebunan,Kelapa_Sawit,Ribu_Ton,0.0,0.0,0.0
Musi_Rawas_Utara,Tanaman_Perkebunan,Kelapa_Sawit,Ribu_Ton,181.67,182.0,180.0
Palembang,Tanaman_Perkebunan,Kelapa_Sawit,Ribu_Ton,0.0,0.0,0.0
Prabumulih,Tanaman_Perkebunan,Kelapa_Sawit,Ribu_Ton,0.0,0.0,0.0
Pagar_Alam,Tanaman_Perkebunan,Kelapa_Sawit,Ribu_Ton,3769.95,78071.0,21459.0
Lubuk_Linggau,Tanaman_Perkebunan,Kelapa_Sawit,Ribu_Ton,276.92,276.92,368.0
Ogan_Komering_Ulu,Tanaman_Perkebunan,Kopi,Ribu_Ton,302.37,302.37,329.0
Ogan_Komering_Ilir,Tanaman_Perkebunan,Kopi,Ribu_Ton,14.0,14.0,9.0
Muara_Enim,Tanaman_Perkebunan,Kopi,Ribu_Ton,547.25,548.0,566.0
Lahat,Tanaman_Perkebunan,Kopi,Ribu_Ton,164.3,163.0,130.0
Musi_Rawas,Tanaman_Perkebunan,Kopi,Ribu_Ton,0.0,0.0,0.0
Musi_Banyuasin,Tanaman_Perkebunan,Kopi,Ribu_Ton,5.1,5.1,0.0
Banyuasin,Tanaman_Perkebunan,Kopi,Ribu_Ton,0.0,0.0,0.0
Ogan_Komering_Ulu_Selatan,Tanaman_Perkebunan,Kopi,Ribu_Ton,3781.4,3960.0,2869.0
Ogan_Komering_Ulu_Timur,Tanaman_Perkebunan,Kopi,Ribu_Ton,2899.65,2938.0,2380.0
Ogan_Ilir,Tanaman_Perkebunan,Kopi,Ribu_Ton,0.0,0.0,0.0
Empat_Lawang,Tanaman_Perkebunan,Kopi,Ribu_Ton,237.6,1185.0,1185.0
Pali,Tanaman_Perkebunan,Kopi,Ribu_Ton,0.0,0.0,0.0
Musi_Rawas_Utara,Tanaman_Perkebunan,Kopi,Ribu_Ton,0.0,0.0,0.0
Palembang,Tanaman_Perkebunan,Kopi,Ribu_Ton,0.0,0.0,0.0
Prabumulih,Tanaman_Perkebunan,Kopi,Ribu_Ton,0.0,0.0,0.0
Pagar_Alam,Tanaman_Perkebunan,Kopi,Ribu_Ton,19.34,224.0,112.0
