Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017
Muara_Enim,Daging_Ternak,Kerbau,kg,84884.0,67872.0,84884.0
Lahat,Daging_Ternak,Kerbau,kg,170166.0,24126.0,342453.0
Musi_Rawas,Daging_Ternak,Kerbau,kg,210421.0,219943.0,221755.0
Musi_Banyuasin,Daging_Ternak,Kerbau,kg,131060.0,270472.0,278580.0
Banyuasin,Daging_Ternak,Kerbau,kg,160599.0,166366.0,16371.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Kerbau,kg,28302.0,97279.0,54505.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Kerbau,kg,367154.0,42376.0,124962.0
Ogan_Ilir,Daging_Ternak,Kerbau,kg,8572.0,9942.0,67253.0
Empat_Lawang,Daging_Ternak,Kerbau,kg,46331.0,3182.0,3182.0
Pali,Daging_Ternak,Kerbau,kg,33141.0,22646.0,24745.0
Musi_Rawas_Utara,Daging_Ternak,Kerbau,kg,63674.0,75052.0,76511.0
Palembang,Daging_Ternak,Kerbau,kg,208101.0,71363.0,144957.0
Prabumulih,Daging_Ternak,Kerbau,kg,42000.0,36322.0,28523.0
Pagar_Alam,Daging_Ternak,Kerbau,kg,15201.0,15908.0,65132.0
Lubuk_Linggau,Daging_Ternak,Kerbau,kg,62172.0,127746.0,128188.0
Sumatera_Selatan,Daging_Ternak,Kerbau,kg,1742114.0,1395376.0,1868248.0
Ogan_Komering_Ulu,Daging_Ternak,Kambing,kg,225.0,11318.0,4645.0
Ogan_Komering_Ilir,Daging_Ternak,Kambing,kg,4392.0,4842.0,39977.0
Muara_Enim,Daging_Ternak,Kambing,kg,22945.0,4561.0,28913.0
Lahat,Daging_Ternak,Kambing,kg,17427.0,19172.0,92483.0
Musi_Rawas,Daging_Ternak,Kambing,kg,10839.0,11346.0,11374.0
Musi_Banyuasin,Daging_Ternak,Kambing,kg,13739.0,15006.0,985.0
Banyuasin,Daging_Ternak,Kambing,kg,10501.0,10473.0,1182.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Kambing,kg,36599.0,9009.0,0.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Kambing,kg,73198.0,49831.0,26745.0
Ogan_Ilir,Daging_Ternak,Kambing,kg,2562.0,845.0,19116.0
Empat_Lawang,Daging_Ternak,Kambing,kg,10839.0,450.0,507.0
Pali,Daging_Ternak,Kambing,kg,5630.0,9009.0,0.0
Musi_Rawas_Utara,Daging_Ternak,Kambing,kg,5518.0,10023.0,10220.0
Palembang,Daging_Ternak,Kambing,kg,33784.0,20693.0,3829.0
Prabumulih,Daging_Ternak,Kambing,kg,704.0,28.0,56.0
Pagar_Alam,Daging_Ternak,Kambing,kg,4448.0,1689.0,113.0
Lubuk_Linggau,Daging_Ternak,Kambing,kg,1520.0,16188.0,13795.0
Sumatera_Selatan,Daging_Ternak,Kambing,kg,254870.0,194483.0,253941.0
Ogan_Komering_Ulu,Daging_Ternak,Domba,kg,28903.0,10577.0,36653.0
Ogan_Komering_Ilir,Daging_Ternak,Domba,kg,29741.0,30369.0,12776.0
Muara_Enim,Daging_Ternak,Domba,kg,0.0,35501.0,0.0
Lahat,Daging_Ternak,Domba,kg,0.0,0.0,0.0
Musi_Rawas,Daging_Ternak,Domba,kg,24505.0,25657.0,25866.0
Musi_Banyuasin,Daging_Ternak,Domba,kg,0.0,0.0,0.0
Banyuasin,Daging_Ternak,Domba,kg,0.0,0.0,13719.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Domba,kg,0.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Domba,kg,890139.0,101057.0,419831.0
Ogan_Ilir,Daging_Ternak,Domba,kg,0.0,0.0,0.0
Empat_Lawang,Daging_Ternak,Domba,kg,0.0,0.0,0.0
Pali,Daging_Ternak,Domba,kg,0.0,0.0,0.0
Musi_Rawas_Utara,Daging_Ternak,Domba,kg,0.0,0.0,0.0
Palembang,Daging_Ternak,Domba,kg,201067.0,377000.0,421926.0
Prabumulih,Daging_Ternak,Domba,kg,191118.0,103047.0,0.0
Pagar_Alam,Daging_Ternak,Domba,kg,0.0,0.0,0.0
Lubuk_Linggau,Daging_Ternak,Domba,kg,36653.0,33092.0,33511.0
Sumatera_Selatan,Daging_Ternak,Domba,kg,1402126.0,716300.0,964282.0
