Kabupaten/Kota,kelompok,jenis,satuan,2018,2019,2020
Ogan_Komering_Ulu,Sayuran,Petsai,Kuintal,2560.0,2780.0,2560.0
Ogan_Komering_Ilir,Sayuran,Petsai,Kuintal,213.0,50.0,142.0
Muara_Enim,Sayuran,Petsai,Kuintal,625.0,1581.0,646.0
Lahat,Sayuran,Petsai,Kuintal,50.0,0.0,35.0
Musi_Rawas,Sayuran,Petsai,Kuintal,3089.0,2764.0,236.0
Musi_Banyuasin,Sayuran,Petsai,Kuintal,0.0,2.0,0.0
Banyuasin,Sayuran,Petsai,Kuintal,7.0,0.0,4.0
Ogan_Komering_Ulu_Selatan,Sayuran,Petsai,Kuintal,0.0,71.0,31.0
Ogan_Komering_Ulu_Timur,Sayuran,Petsai,Kuintal,3050.0,1752.0,807.0
Ogan_Ilir,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Empat_Lawang,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Pali,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Musi_Rawas_Utara,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Palembang,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Prabumulih,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Pagar_Alam,Sayuran,Petsai,Kuintal,4838.0,4900.0,3730.0
Lubuk_Linggau,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Sumatera_Selatan,Sayuran,Petsai,Kuintal,14432.0,13900.0,8191.0
Ogan_Komering_Ulu,Sayuran,Bawang_Merah,Kuintal,35120.0,16400.0,10830.0
Ogan_Komering_Ilir,Sayuran,Bawang_Merah,Kuintal,179890.0,213710.0,135263.0
Muara_Enim,Sayuran,Bawang_Merah,Kuintal,36988.0,46259.0,33944.0
Lahat,Sayuran,Bawang_Merah,Kuintal,9471.0,6877.0,7412.0
Musi_Rawas,Sayuran,Bawang_Merah,Kuintal,43552.0,14105.0,18599.0
Musi_Banyuasin,Sayuran,Bawang_Merah,Kuintal,20042.0,27498.0,17656.0
Banyuasin,Sayuran,Bawang_Merah,Kuintal,14227.0,14738.0,26034.0
Ogan_Komering_Ulu_Selatan,Sayuran,Bawang_Merah,Kuintal,55598.0,32250.0,21126.0
Ogan_Komering_Ulu_Timur,Sayuran,Bawang_Merah,Kuintal,65023.0,60065.0,29667.0
Ogan_Ilir,Sayuran,Bawang_Merah,Kuintal,24107.0,9372.0,12361.0
Empat_Lawang,Sayuran,Bawang_Merah,Kuintal,2743.0,1725.0,1978.0
Pali,Sayuran,Bawang_Merah,Kuintal,514.0,223.0,855.0
Musi_Rawas_Utara,Sayuran,Bawang_Merah,Kuintal,4085.0,7887.0,4200.0
Palembang,Sayuran,Bawang_Merah,Kuintal,549.0,506.0,999.0
Prabumulih,Sayuran,Bawang_Merah,Kuintal,186.0,2084.0,651.0
Pagar_Alam,Sayuran,Bawang_Merah,Kuintal,60531.0,61213.0,59755.0
Lubuk_Linggau,Sayuran,Bawang_Merah,Kuintal,20.0,9.0,280.0
Sumatera_Selatan,Sayuran,Bawang_Merah,Kuintal,552646.0,514921.0,381609.0
Ogan_Komering_Ulu,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ilir,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Muara_Enim,Sayuran,Cabai,Kuintal,1910.0,1164.0,1950.0
Lahat,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Musi_Rawas,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Musi_Banyuasin,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Banyuasin,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ulu_Selatan,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Sayuran,Cabai,Kuintal,70.0,0.0,0.0
Ogan_Ilir,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Empat_Lawang,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Pali,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Musi_Rawas_Utara,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Palembang,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Prabumulih,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Pagar_Alam,Sayuran,Cabai,Kuintal,8307.0,5560.0,2230.0
Lubuk_Linggau,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Sumatera_Selatan,Sayuran,Cabai,Kuintal,10287.0,6724.0,4180.0
Ogan_Komering_Ulu,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ilir,Sayuran,Kentang,Kuintal,150.0,0.0,0.0
Muara_Enim,Sayuran,Kentang,Kuintal,2034.0,2092.0,1206.0
Lahat,Sayuran,Kentang,Kuintal,8875.0,9161.0,11520.0
Musi_Rawas,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Musi_Banyuasin,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Banyuasin,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ulu_Selatan,Sayuran,Kentang,Kuintal,6565.0,4833.0,1766.0
Ogan_Komering_Ulu_Timur,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Ogan_Ilir,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Empat_Lawang,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Pali,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Musi_Rawas_Utara,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Palembang,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Prabumulih,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Pagar_Alam,Sayuran,Kentang,Kuintal,37534.0,52383.0,23045.0
Lubuk_Linggau,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Sumatera_Selatan,Sayuran,Kentang,Kuintal,55158.0,68469.0,37537.0
Ogan_Komering_Ulu,Sayuran,Kubis,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ilir,Sayuran,Kubis,Kuintal,938.0,1298.0,3030.0
Muara_Enim,Sayuran,Kubis,Kuintal,1895.0,1032.0,900.0
Lahat,Sayuran,Kubis,Kuintal,11925.0,11563.0,18091.0
Musi_Rawas,Sayuran,Kubis,Kuintal,0.0,0.0,0.0
Musi_Banyuasin,Sayuran,Kubis,Kuintal,4.0,0.0,237.0
Banyuasin,Sayuran,Kubis,Kuintal,412.0,23.0,41.0
Ogan_Komering_Ulu_Selatan,Sayuran,Kubis,Kuintal,812.0,1970.0,1312.0
Ogan_Komering_Ulu_Timur,Sayuran,Kubis,Kuintal,540.0,2192.0,7875.0
Ogan_Ilir,Sayuran,Kubis,Kuintal,0.0,0.0,0.0
Empat_Lawang,Sayuran,Kubis,Kuintal,25.0,0.0,0.0
Pali,Sayuran,Kubis,Kuintal,0.0,0.0,0.0
Musi_Rawas_Utara,Sayuran,Kubis,Kuintal,0.0,0.0,0.0
Palembang,Sayuran,Kubis,Kuintal,117.0,394.0,686.0
Prabumulih,Sayuran,Kubis,Kuintal,10.0,23.0,38.0
Pagar_Alam,Sayuran,Kubis,Kuintal,19446.0,22910.0,10871.0
Lubuk_Linggau,Sayuran,Kubis,Kuintal,0.0,0.0,0.0
Sumatera_Selatan,Sayuran,Kubis,Kuintal,36124.0,41405.0,43081.0
