Kabupaten/Kota,Produksi_Daging_Ternak_(kg),,,,,,,,,,,,,,,,,,,,
,Sapi_Perah,,,Sapi_Potong,,,Kuda,,,Kerbau,,,Kambing,,,Domba,,,Babi,,
,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017
Ogan_Komering_Ulu,-,-,-,415472.00,564144.00,462714.00,-,-,-,8035.00,80719.00,17102.00,24325.00,57665.00,75826.00,225.00,11318.00,4645.00,28903.00,10577.00,36653.00
Ogan_Komering_Ilir,-,-,-,1123504.00,1413258.00,581532.00,-,-,-,18242.00,4560.00,13225.00,86011.00,87116.00,130419.00,4392.00,4842.00,39977.00,29741.00,30369.00,12776.00
Muara_Enim,-,-,-,923496.00,1057770.00,796950.00,-,-,-,261898.00,285710.00,270889.00,84884.00,67872.00,84884.00,22945.00,4561.00,28913.00,-,35501.00,-
Lahat,-,-,-,707664.00,634662.00,507536.00,-,750.00,-,104238.00,18242.00,191993.00,170166.00,24126.00,342453.00,17427.00,19172.00,92483.00,-,-,-
Musi_Rawas,-,-,-,806104.00,916734.00,905528.00,-,-,-,5646.00,6157.00,6157.00,210421.00,219943.00,221755.00,10839.00,11346.00,11374.00,24505.00,25657.00,25866.00
Musi_Banyuasin,-,-,-,718704.00,775698.00,883310.00,-,-,-,10424.00,4788.00,-,131060.00,270472.00,278580.00,13739.00,15006.00,985.00,-,-,-
Banyuasin,-,-,-,375360.00,423108.00,317041.00,-,-,-,31054.00,33519.00,8209.00,160599.00,166366.00,16371.00,10501.00,10473.00,1182.00,-,-,13719.00
Ogan_Komering_Ulu_Selatan,-,-,-,260544.00,352590.00,153594.00,-,-,-,869.00,456.00,2280.00,28302.00,97279.00,54505.00,36599.00,9009.00,-,-,-,-
Ogan_Komering_Ulu_Timur,-,-,-,1617360.00,1621914.00,1404564.00,-,-,-,5863.00,6613.00,19610.00,367154.00,42376.00,124962.00,73198.00,49831.00,26745.00,890139.00,101057.00,419831.00
Ogan_Ilir,-,-,-,536912.00,634662.00,2670797.00,-,-,-,3909.00,4788.00,51761.00,8572.00,9942.00,67253.00,2562.00,845.00,19116.00,-,-,-
Empat_Lawang,-,-,-,303600.00,403788.00,102203.00,-,-,-,145933.00,160983.00,10033.00,46331.00,3182.00,3182.00,10839.00,450.00,507.00,-,-,-
Pali,-,-,-,79488.00,82303.00,88292.00,-,-,-,35831.00,39904.00,13453.00,33141.00,22646.00,24745.00,5630.00,9009.00,-,-,-,-
Musi_Rawas_Utara,-,-,-,100464.00,130217.00,102010.00,-,-,-,109450.00,140005.00,142741.00,63674.00,75052.00,76511.00,5518.00,10023.00,10220.00,-,-,-
Palembang,-,-,-,4452800.00,5692638.00,2208959.00,-,-,-,14116.00,15277.00,684.00,208101.00,71363.00,144957.00,33784.00,20693.00,3829.00,201067.00,377000.00,421926.00
Prabumulih,-,-,-,956800.00,1025892.00,396833.00,-,-,-,6081.00,2736.00,2280.00,42000.00,36322.00,28523.00,704.00,28.00,56.00,191118.00,103047.00,-
Pagar_Alam,-,-,-,885040.00,950544.00,447644.00,-,-,-,22151.00,28275.00,1140.00,15201.00,15908.00,65132.00,4448.00,1689.00,113.00,-,-,-
Lubuk_Linggau,-,-,-,1110992.00,1198806.00,636594.00,-,-,-,6732.00,144337.00,97137.00,62172.00,127746.00,128188.00,1520.00,16188.00,13795.00,36653.00,33092.00,33511.00
Sumatera_Selatan,-,-,-,15374304.00,17878728.00,12666102.00,-,750.00,-,790472.00,977069.00,848693.00,1742114.00,1395376.00,1868248.00,254870.00,194483.00,253941.00,1402126.00,716300.00,964282.00
Sumber:Dinas_Peternakan_Provinsi_Sumatera_Selatan,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source_Url:_https://sumsel.bps.go.id/indicator/24/427/2/produksi-daging-ternak.html,,,,,,,,,,,,,,,,,,,,,
"Access_Time:_November_1,_2021,_8:45_pm",,,,,,,,,,,,,,,,,,,,,
