Kabupaten/Kota,Produksi_Sayuran_(Kuintal),,,,,,,,,,,,,,
,Bawang_Merah,,,Cabai,,,Kentang,,,Kubis,,,Petsai,,
,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017
Ogan_Komering_Ulu,740.00,1290.00,284.00,7851.00,19590.00,21645.00,-,-,-,-,-,-,-,-,-
Ogan_Komering_Ilir,2350.00,30.00,613.00,9367.00,27775.00,184091.00,-,-,-,-,-,-,1236.00,867.00,1298.00
Muara_Enim,260.00,1020.00,752.00,21889.00,31519.00,32108.00,860.00,5580.00,1491.00,1495.00,2135.00,1360.00,1300.00,1805.00,960.00
Lahat,-,-,260.00,7289.00,10503.00,10459.00,530.00,-,110.00,6799.00,11605.00,8922.00,5147.00,8520.00,11359.00
Musi_Rawas,1881.00,2809.00,4208.00,5979.00,11827.00,42562.00,-,-,-,-,-,-,-,-,-
Musi_Banyuasin,-,-,7.00,19009.00,23290.00,18118.00,-,-,-,-,-,-,-,-,-
Banyuasin,10.00,218.00,331.00,9976.00,18879.00,46450.00,-,-,-,-,-,-,442.00,625.00,79.00
Ogan_Komering_Ulu_Selatan,-,18.00,-,10840.00,100847.00,99213.00,66.00,-,-,5605.00,3179.00,10020.00,1373.00,268.00,3771.00
Ogan_Komering_Ulu_Timur,-,289.00,947.00,16672.00,61534.00,20752.00,-,-,-,-,-,-,5.00,44.00,1008.00
Ogan_Ilir,-,-,-,8607.00,15716.00,27924.00,-,-,-,-,-,-,-,-,-
Empat_Lawang,-,-,-,2652.00,2879.00,1987.00,-,-,-,-,-,-,16.00,68.00,52.00
Pali,-,-,-,1278.00,576.00,821.00,-,-,-,-,-,-,-,-,-
Musi_Rawas_Utara,-,-,-,3124.00,1953.00,14459.00,-,-,-,-,-,-,-,-,-
Palembang,-,-,-,518.00,1014.00,116.00,-,-,-,-,-,-,137.00,106.00,98.00
Prabumulih,-,-,-,1292.00,2320.00,873.00,-,-,-,-,-,-,922.00,512.00,14.00
Pagar_Alam,587.00,702.00,6356.00,6920.00,26006.00,41280.00,2357.00,1167.00,1636.00,45122.00,22638.00,25119.00,21827.00,19965.00,19161.00
Lubuk_Linggau,-,-,-,1137.00,1365.00,79.00,-,-,-,-,-,-,49.00,-,-
Sumatera_Selatan,5828.00,6376.00,13758.00,134400.00,357593.00,562937.00,3813.00,6747.00,3237.00,59021.00,39557.00,45421.00,32454.00,32780.00,37800.00
Sumber:Dinas_pertanian_melalui_survei_pertanian_hortikultura,,,,,,,,,,,,,,,

Source_Url:_https://sumsel.bps.go.id/indicator/55/406/2/produksi-sayuran.html,,,,,,,,,,,,,,,
"Access_Time:_November_1,_2021,_8:50_pm",,,,,,,,,,,,,,,
